2026-03-10 02:27:38.595 | WARNING  | __main__:147 |   Features skipped 2022-05-16: Clean parquet missing for 2022-05-16: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-16.parquet
2026-03-10 02:27:38.595 | WARNING  | __main__:147 |   Features skipped 2022-05-17: Clean parquet missing for 2022-05-17: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-17.parquet
2026-03-10 02:27:38.596 | WARNING  | __main__:147 |   Features skipped 2022-05-18: Clean parquet missing for 2022-05-18: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-18.parquet
2026-03-10 02:27:38.596 | WARNING  | __main__:147 |   Features skipped 2022-05-19: Clean parquet missing for 2022-05-19: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-19.parquet
2026-03-10 02:27:38.596 | WARNING  | __main__:147 |   Features skipped 2022-05-20: Clean parquet missing for 2022-05-20: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-20.parquet
2026-03-10 02:27:38.597 | WARNING  | __main__:147 |   Features skipped 2022-05-23: Clean parquet missing for 2022-05-23: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-23.parquet
2026-03-10 02:27:38.597 | WARNING  | __main__:147 |   Features skipped 2022-05-24: Clean parquet missing for 2022-05-24: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-24.parquet
2026-03-10 02:27:38.597 | WARNING  | __main__:147 |   Features skipped 2022-05-25: Clean parquet missing for 2022-05-25: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-25.parquet
2026-03-10 02:27:38.598 | WARNING  | __main__:147 |   Features skipped 2022-05-26: Clean parquet missing for 2022-05-26: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-26.parquet
2026-03-10 02:27:38.598 | WARNING  | __main__:147 |   Features skipped 2022-05-27: Clean parquet missing for 2022-05-27: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-27.parquet
2026-03-10 02:27:38.598 | WARNING  | __main__:147 |   Features skipped 2022-05-30: Clean parquet missing for 2022-05-30: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-30.parquet
2026-03-10 02:27:38.599 | WARNING  | __main__:147 |   Features skipped 2022-05-31: Clean parquet missing for 2022-05-31: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\05\clean_2022-05-31.parquet
2026-03-10 02:27:38.599 | WARNING  | __main__:147 |   Features skipped 2022-06-01: Clean parquet missing for 2022-06-01: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\06\clean_2022-06-01.parquet
2026-03-10 02:27:38.599 | WARNING  | __main__:147 |   Features skipped 2022-06-02: Clean parquet missing for 2022-06-02: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\06\clean_2022-06-02.parquet
2026-03-10 02:27:38.600 | WARNING  | __main__:147 |   Features skipped 2022-06-03: Clean parquet missing for 2022-06-03: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\06\clean_2022-06-03.parquet
2026-03-10 02:27:38.600 | WARNING  | __main__:147 |   Features skipped 2022-06-06: Clean parquet missing for 2022-06-06: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\clean\2022\06\clean_2022-06-06.parquet
