2026-03-10 02:27:38.211 | WARNING  | __main__:119 |   Preprocess skipped 2022-04-29: Raw parquet missing for 2022-04-29: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\04\master_2022-04-29.parquet
2026-03-10 02:27:38.211 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-02: Raw parquet missing for 2022-05-02: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-02.parquet
2026-03-10 02:27:38.212 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-04: Raw parquet missing for 2022-05-04: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-04.parquet
2026-03-10 02:27:38.212 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-05: Raw parquet missing for 2022-05-05: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-05.parquet
2026-03-10 02:27:38.212 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-06: Raw parquet missing for 2022-05-06: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-06.parquet
2026-03-10 02:27:38.212 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-09: Raw parquet missing for 2022-05-09: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-09.parquet
2026-03-10 02:27:38.213 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-10: Raw parquet missing for 2022-05-10: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-10.parquet
2026-03-10 02:27:38.213 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-11: Raw parquet missing for 2022-05-11: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-11.parquet
2026-03-10 02:27:38.213 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-12: Raw parquet missing for 2022-05-12: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-12.parquet
2026-03-10 02:27:38.214 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-13: Raw parquet missing for 2022-05-13: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-13.parquet
2026-03-10 02:27:38.214 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-16: Raw parquet missing for 2022-05-16: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-16.parquet
2026-03-10 02:27:38.214 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-17: Raw parquet missing for 2022-05-17: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-17.parquet
2026-03-10 02:27:38.214 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-18: Raw parquet missing for 2022-05-18: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-18.parquet
2026-03-10 02:27:38.215 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-19: Raw parquet missing for 2022-05-19: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-19.parquet
2026-03-10 02:27:38.215 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-20: Raw parquet missing for 2022-05-20: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-20.parquet
2026-03-10 02:27:38.216 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-23: Raw parquet missing for 2022-05-23: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-23.parquet
2026-03-10 02:27:38.216 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-24: Raw parquet missing for 2022-05-24: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-24.parquet
2026-03-10 02:27:38.216 | WARNING  | __main__:119 |   Preprocess skipped 2022-05-25: Raw parquet missing for 2022-05-25: C:\Users\sasan\Downloads\DATA ENGINE\TRAINING DATA\raw\2022\05\master_2022-05-25.parquet
